Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Sơn La,23,Nam,Phục vụ,7,3,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp', 'Chỗ để xe']","{'Latitude': 13.233927, 'Longitude': 103.822572}",Nam Từ Liêm,30,1
Hưng Yên,25,Nữ,Freelancer,9,1,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 13.374986, 'Longitude': 107.097684}",Sơn Tây,35,1
Hưng Yên,29,Nữ,Kỹ sư,14,2,Thích yên tĩnh,"['Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 16.144769, 'Longitude': 107.997789}",Hoài Đức,47,2
Lạng Sơn,25,Nữ,Kỹ sư,9,4,Không quan trọng,"['Máy lạnh', 'Nội thất sẵn', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 14.647427, 'Longitude': 106.867855}",Tây Hồ,28,2
Yên Bái,23,Nam,Kỹ sư,13,1,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 13.372097, 'Longitude': 105.771482}",Gia Lâm,10,1
Bắc Ninh,35,Nữ,Công nhân,16,3,Thích yên tĩnh,"['Máy lạnh', 'Nội thất sẵn', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 15.578715, 'Longitude': 106.191152}",Phú Xuyên,16,2
Yên Bái,32,Nữ,Freelancer,20,1,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn']","{'Latitude': 15.554635, 'Longitude': 105.92748}",Sóc Sơn,38,1
Thái Nguyên,31,Nam,Freelancer,6,2,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 17.90833, 'Longitude': 105.722535}",Đông Anh,46,4
Hải Dương,21,Nam,Sinh viên,0,4,Thích yên tĩnh,"['Nội thất sẵn', 'Máy lạnh', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 10.314787, 'Longitude': 107.906524}",Nam Từ Liêm,41,3
Lào Cai,33,Nam,Nhân viên văn phòng,9,5,Không quan trọng,"['An ninh tốt', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 22.319989, 'Longitude': 105.317343}",Hoàn Kiếm,27,2
Quảng Ninh,30,Nam,Phục vụ,10,4,Thích yên tĩnh,['Bếp'],"{'Latitude': 13.815724, 'Longitude': 105.330934}",Ba Vì,31,2
Bắc Giang,31,Nữ,Freelancer,7,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 10.772507, 'Longitude': 104.594296}",Mỹ Đức,12,3
Hà Nội,30,Nữ,Kỹ sư,19,2,Thích yên tĩnh,['Bếp'],"{'Latitude': 19.490849, 'Longitude': 109.112539}",Tây Hồ,19,3
Phú Thọ,24,Nam,Nhân viên văn phòng,8,1,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt']","{'Latitude': 15.74917, 'Longitude': 108.492517}",Hoàn Kiếm,25,4
Hà Nội,34,Nữ,Freelancer,20,3,Nuôi thú cưng,['Bếp'],"{'Latitude': 11.982425, 'Longitude': 103.573464}",Chương Mỹ,49,3
Sơn La,32,Nữ,Freelancer,10,2,Không quan trọng,"['Bếp', 'Nội thất sẵn', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 11.580936, 'Longitude': 106.204076}",Mỹ Đức,23,1
Lào Cai,26,Nam,Nhân viên văn phòng,11,1,Không quan trọng,['Chỗ để xe'],"{'Latitude': 10.509731, 'Longitude': 108.991478}",Tây Hồ,43,2
Hà Giang,28,Nam,Nhân viên văn phòng,10,3,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 8.241088, 'Longitude': 104.519443}",Hai Bà Trưng,22,4
Bắc Ninh,25,Nam,Phục vụ,16,5,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 21.376996, 'Longitude': 105.153987}",Phúc Thọ,15,2
Cao Bằng,22,Nữ,Sinh viên,9,3,Thích yên tĩnh,"['Chỗ để xe', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 20.198273, 'Longitude': 103.275453}",Thanh Xuân,48,4
Hà Nội,33,Nam,Phục vụ,8,4,Không quan trọng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 19.50617, 'Longitude': 102.52406}",Ba Vì,16,3
Bắc Kạn,29,Nam,Nhân viên văn phòng,8,3,Không quan trọng,"['Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 19.598775, 'Longitude': 108.429286}",Sóc Sơn,11,1
Nam Định,32,Nữ,Freelancer,15,4,Không quan trọng,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 8.394255, 'Longitude': 102.96275}",Gia Lâm,26,4
Hà Nam,31,Nữ,Kỹ sư,8,2,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 21.230131, 'Longitude': 104.15514}",Sơn Tây,31,4
Sơn La,27,Nữ,Phục vụ,17,2,Không quan trọng,"['Bếp', 'Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng']","{'Latitude': 11.150271, 'Longitude': 105.603965}",Thạch Thất,49,2
Bắc Ninh,35,Nữ,Nhân viên văn phòng,12,5,Nuôi thú cưng,"['Nội thất sẵn', 'Bếp', 'An ninh tốt']","{'Latitude': 13.659203, 'Longitude': 105.422785}",Ứng Hòa,17,1
Lạng Sơn,34,Nữ,Phục vụ,18,1,Không quan trọng,['Chỗ để xe'],"{'Latitude': 17.184265, 'Longitude': 108.685905}",Cầu Giấy,18,1
Thái Bình,30,Nữ,Phục vụ,16,3,Nuôi thú cưng,"['Chỗ để xe', 'Máy lạnh', 'Bếp', 'Nội thất sẵn']","{'Latitude': 23.027057, 'Longitude': 107.000557}",Tây Hồ,24,3
Hòa Bình,35,Nam,Kỹ sư,19,5,Nuôi thú cưng,"['Bếp', 'Máy lạnh']","{'Latitude': 21.998104, 'Longitude': 107.384667}",Phú Xuyên,50,3
Bắc Giang,26,Nữ,Nhân viên văn phòng,12,5,Thích yên tĩnh,"['Chỗ để xe', 'Nội thất sẵn', 'An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 16.853981, 'Longitude': 108.579768}",Ba Vì,11,3
Lạng Sơn,33,Nữ,Freelancer,20,2,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh']","{'Latitude': 14.030443, 'Longitude': 109.130786}",Tây Hồ,13,1
Hải Dương,30,Nam,Công nhân,8,4,Không quan trọng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 14.421184, 'Longitude': 106.495954}",Đống Đa,50,3
Phú Thọ,28,Nữ,Phục vụ,6,2,Thích yên tĩnh,"['An ninh tốt', 'Nội thất sẵn']","{'Latitude': 23.380545, 'Longitude': 107.963698}",Thanh Trì,25,1
Sơn La,26,Nữ,Freelancer,19,1,Nuôi thú cưng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 8.668405, 'Longitude': 107.595219}",Gia Lâm,49,1
Lạng Sơn,35,Nữ,Nhân viên văn phòng,12,5,Không quan trọng,"['An ninh tốt', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 11.777512, 'Longitude': 107.574799}",Bắc Từ Liêm,17,1
Bắc Giang,34,Nữ,Nhân viên văn phòng,15,2,Nuôi thú cưng,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 21.842989, 'Longitude': 107.199475}",Hà Đông,12,3
Quảng Ninh,33,Nam,Công nhân,5,2,Nuôi thú cưng,"['Chỗ để xe', 'Nội thất sẵn', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 10.521065, 'Longitude': 108.686986}",Mỹ Đức,44,3
Bắc Giang,29,Nữ,Công nhân,6,5,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 17.224781, 'Longitude': 107.099209}",Quốc Oai,49,3
Bắc Kạn,34,Nữ,Freelancer,12,1,Không quan trọng,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 21.810116, 'Longitude': 104.834305}",Quốc Oai,43,2
Thái Bình,31,Nam,Freelancer,20,2,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'Bếp']","{'Latitude': 20.392586, 'Longitude': 108.995708}",Hoài Đức,30,1
Lai Châu,21,Nữ,Sinh viên,5,3,Không quan trọng,"['Nội thất sẵn', 'Máy lạnh']","{'Latitude': 15.082552, 'Longitude': 102.922699}",Thanh Trì,14,4
Hải Phòng,33,Nam,Freelancer,12,3,Thích yên tĩnh,['Nội thất sẵn'],"{'Latitude': 11.960858, 'Longitude': 102.984889}",Đan Phượng,45,4
Quảng Ninh,20,Nam,Sinh viên,3,4,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 14.618215, 'Longitude': 104.262226}",Thanh Oai,21,4
Hưng Yên,23,Nữ,Nhân viên văn phòng,19,3,Nuôi thú cưng,"['An ninh tốt', 'Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 19.201829, 'Longitude': 108.700831}",Thường Tín,25,3
Ninh Bình,29,Nam,Nhân viên văn phòng,15,5,Không quan trọng,"['Bếp', 'Chỗ để xe', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 9.484265, 'Longitude': 104.236372}",Hà Đông,28,2
Bắc Ninh,27,Nữ,Nhân viên văn phòng,11,2,Không quan trọng,"['Chỗ để xe', 'Bếp', 'Nội thất sẵn']","{'Latitude': 12.789843, 'Longitude': 104.328328}",Tây Hồ,41,4
Hà Giang,29,Nam,Nhân viên văn phòng,20,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Chỗ để xe']","{'Latitude': 22.296721, 'Longitude': 107.795651}",Mỹ Đức,45,2
Lạng Sơn,32,Nam,Công nhân,8,1,Thích yên tĩnh,"['Chỗ để xe', 'Nhà vệ sinh riêng', 'Nội thất sẵn']","{'Latitude': 21.119032, 'Longitude': 103.548312}",Sơn Tây,45,4
Lào Cai,19,Nữ,Sinh viên,10,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 9.433013, 'Longitude': 102.727594}",Hoàng Mai,14,3
Hòa Bình,32,Nữ,Nhân viên văn phòng,12,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 9.026991, 'Longitude': 108.950724}",Chương Mỹ,45,1
Lạng Sơn,32,Nam,Nhân viên văn phòng,5,1,Thích yên tĩnh,['Bếp'],"{'Latitude': 18.450396, 'Longitude': 108.254908}",Hai Bà Trưng,45,2
Hải Phòng,23,Nữ,Phục vụ,12,4,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 9.335382, 'Longitude': 104.519141}",Thạch Thất,27,2
Nam Định,30,Nữ,Công nhân,16,3,Nuôi thú cưng,['Bếp'],"{'Latitude': 14.044944, 'Longitude': 108.157344}",Hoàng Mai,33,4
Thái Nguyên,26,Nam,Công nhân,16,4,Không quan trọng,"['Bếp', 'Chỗ để xe', 'An ninh tốt', 'Máy lạnh']","{'Latitude': 22.332002, 'Longitude': 106.936379}",Hà Đông,45,4
Nam Định,24,Nam,Freelancer,9,2,Thích yên tĩnh,"['Bếp', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 11.27964, 'Longitude': 104.519789}",Thạch Thất,20,2
Nam Định,28,Nam,Phục vụ,13,5,Không quan trọng,['Chỗ để xe'],"{'Latitude': 17.915761, 'Longitude': 104.928807}",Ba Đình,28,1
Nam Định,28,Nữ,Công nhân,16,4,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 12.579459, 'Longitude': 107.527068}",Thạch Thất,44,2
Điện Biên,34,Nam,Phục vụ,11,2,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 21.048526, 'Longitude': 105.42746}",Ba Đình,20,4
Ninh Bình,30,Nữ,Công nhân,10,4,Thích yên tĩnh,"['An ninh tốt', 'Nhà vệ sinh riêng']","{'Latitude': 8.285361, 'Longitude': 105.89824}",Tây Hồ,23,2
Hải Phòng,24,Nam,Công nhân,6,4,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 9.042909, 'Longitude': 108.109988}",Quốc Oai,23,4
Bắc Giang,30,Nữ,Nhân viên văn phòng,19,3,Nuôi thú cưng,"['Chỗ để xe', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 11.719313, 'Longitude': 102.554784}",Long Biên,46,2
Điện Biên,31,Nữ,Kỹ sư,13,2,Thích yên tĩnh,"['Máy lạnh', 'Chỗ để xe']","{'Latitude': 13.76014, 'Longitude': 102.566866}",Quốc Oai,45,4
Hưng Yên,23,Nam,Freelancer,11,2,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 22.453669, 'Longitude': 107.825015}",Chương Mỹ,18,4
Lai Châu,32,Nữ,Phục vụ,15,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 11.660591, 'Longitude': 104.362389}",Chương Mỹ,27,2
Quảng Ninh,18,Nữ,Sinh viên,9,3,Thích yên tĩnh,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 10.358691, 'Longitude': 106.1888}",Quốc Oai,32,4
Hưng Yên,24,Nam,Phục vụ,7,4,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 13.733706, 'Longitude': 107.954627}",Ứng Hòa,49,3
Hà Nam,30,Nữ,Freelancer,10,2,Nuôi thú cưng,"['Bếp', 'An ninh tốt', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 9.794052, 'Longitude': 107.25211}",Bắc Từ Liêm,33,4
Bắc Giang,29,Nam,Phục vụ,19,1,Không quan trọng,['Máy lạnh'],"{'Latitude': 13.098468, 'Longitude': 107.422623}",Phú Xuyên,38,3
Hòa Bình,25,Nữ,Công nhân,19,5,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 21.037232, 'Longitude': 102.351254}",Ba Đình,50,2
Lào Cai,33,Nữ,Nhân viên văn phòng,13,1,Không quan trọng,['Bếp'],"{'Latitude': 9.04804, 'Longitude': 106.006675}",Mỹ Đức,48,1
Sơn La,26,Nam,Nhân viên văn phòng,6,1,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 18.218906, 'Longitude': 103.879366}",Phú Xuyên,24,3
Điện Biên,31,Nam,Kỹ sư,15,2,Nuôi thú cưng,['Bếp'],"{'Latitude': 12.165347, 'Longitude': 107.191385}",Tây Hồ,13,3
Lai Châu,25,Nữ,Kỹ sư,20,2,Không quan trọng,"['Nội thất sẵn', 'Chỗ để xe', 'Máy lạnh', 'Bếp']","{'Latitude': 13.153617, 'Longitude': 106.223228}",Đan Phượng,43,1
Ninh Bình,28,Nam,Công nhân,19,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 20.633753, 'Longitude': 107.758729}",Tây Hồ,43,1
Quảng Ninh,35,Nữ,Kỹ sư,7,5,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 9.415287, 'Longitude': 106.99963}",Hoàn Kiếm,39,4
Ninh Bình,34,Nữ,Freelancer,17,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'An ninh tốt', 'Nội thất sẵn', 'Máy lạnh']","{'Latitude': 11.24162, 'Longitude': 105.822695}",Phúc Thọ,31,3
Điện Biên,33,Nam,Freelancer,16,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 10.067148, 'Longitude': 104.908605}",Đống Đa,22,2
Hà Giang,30,Nữ,Freelancer,20,4,Thích yên tĩnh,"['Chỗ để xe', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 22.519678, 'Longitude': 103.700572}",Hoài Đức,15,4
Thái Bình,25,Nữ,Nhân viên văn phòng,16,3,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 17.443256, 'Longitude': 103.950184}",Quốc Oai,12,1
Lào Cai,35,Nữ,Phục vụ,12,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 19.483548, 'Longitude': 105.65429}",Bắc Từ Liêm,36,1
Hà Nam,25,Nữ,Freelancer,14,1,Không quan trọng,"['Nhà vệ sinh riêng', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 13.523728, 'Longitude': 102.525217}",Thanh Xuân,11,1
Hưng Yên,28,Nữ,Nhân viên văn phòng,17,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 22.677399, 'Longitude': 108.193723}",Sóc Sơn,27,4
Lạng Sơn,23,Nam,Phục vụ,11,3,Không quan trọng,"['Chỗ để xe', 'Máy lạnh', 'Bếp', 'An ninh tốt']","{'Latitude': 13.720717, 'Longitude': 106.907603}",Mỹ Đức,35,2
Sơn La,31,Nam,Công nhân,16,4,Nuôi thú cưng,"['Nội thất sẵn', 'An ninh tốt']","{'Latitude': 18.724698, 'Longitude': 102.838553}",Thạch Thất,12,3
Thái Bình,34,Nam,Nhân viên văn phòng,13,1,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 17.272624, 'Longitude': 106.04574}",Đống Đa,33,3
Tuyên Quang,30,Nam,Kỹ sư,11,1,Không quan trọng,"['Bếp', 'Chỗ để xe', 'Máy lạnh', 'Nội thất sẵn']","{'Latitude': 17.675802, 'Longitude': 103.418797}",Thanh Xuân,21,1
Hải Dương,25,Nữ,Nhân viên văn phòng,13,3,Nuôi thú cưng,['Máy lạnh'],"{'Latitude': 15.761618, 'Longitude': 105.865717}",Ba Vì,50,1
Tuyên Quang,29,Nữ,Nhân viên văn phòng,18,3,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Nhà vệ sinh riêng', 'Máy lạnh']","{'Latitude': 19.905493, 'Longitude': 103.3015}",Thường Tín,21,4
Hà Giang,19,Nam,Sinh viên,8,4,Nuôi thú cưng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 8.39238, 'Longitude': 108.83261}",Đống Đa,46,4
Tuyên Quang,22,Nam,Sinh viên,5,1,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Bếp', 'Chỗ để xe']","{'Latitude': 12.455818, 'Longitude': 103.1597}",Quốc Oai,17,2
Hà Giang,35,Nữ,Phục vụ,13,3,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'Bếp']","{'Latitude': 22.890915, 'Longitude': 106.227969}",Hoàn Kiếm,28,4
Hà Giang,29,Nữ,Nhân viên văn phòng,10,2,Nuôi thú cưng,"['Nội thất sẵn', 'Chỗ để xe', 'Bếp']","{'Latitude': 16.936087, 'Longitude': 108.240246}",Đan Phượng,21,1
Yên Bái,34,Nam,Công nhân,10,5,Nuôi thú cưng,"['Máy lạnh', 'An ninh tốt', 'Bếp', 'Chỗ để xe']","{'Latitude': 12.011918, 'Longitude': 104.12274}",Hoàn Kiếm,47,2
Hải Dương,35,Nữ,Kỹ sư,15,4,Nuôi thú cưng,"['Máy lạnh', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 21.087445, 'Longitude': 109.379548}",Ba Vì,41,1
Bắc Kạn,28,Nam,Công nhân,20,5,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Máy lạnh', 'An ninh tốt']","{'Latitude': 18.922835, 'Longitude': 105.881105}",Hoàng Mai,13,4
Bắc Ninh,20,Nữ,Sinh viên,1,5,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 19.147117, 'Longitude': 109.227722}",Long Biên,14,2
Tuyên Quang,26,Nữ,Kỹ sư,17,1,Thích yên tĩnh,['An ninh tốt'],"{'Latitude': 13.53811, 'Longitude': 102.339788}",Thanh Oai,45,4
Lạng Sơn,21,Nữ,Sinh viên,1,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 16.395706, 'Longitude': 107.675771}",Chương Mỹ,46,1
Bắc Giang,30,Nữ,Freelancer,7,2,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 13.357231, 'Longitude': 105.443014}",Đông Anh,20,1
Cao Bằng,33,Nữ,Phục vụ,9,3,Không quan trọng,"['Máy lạnh', 'Bếp', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 8.357449, 'Longitude': 103.487625}",Hai Bà Trưng,19,1
Tuyên Quang,24,Nữ,Công nhân,6,5,Thích yên tĩnh,"['Bếp', 'Chỗ để xe', 'Máy lạnh']","{'Latitude': 19.672898, 'Longitude': 108.186164}",Phú Xuyên,10,2
Phú Thọ,32,Nữ,Nhân viên văn phòng,18,4,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 9.065108, 'Longitude': 108.537313}",Gia Lâm,40,1
Cao Bằng,32,Nam,Công nhân,6,1,Không quan trọng,"['Nội thất sẵn', 'Bếp']","{'Latitude': 18.112065, 'Longitude': 108.217542}",Đống Đa,17,3
Hòa Bình,32,Nam,Công nhân,10,2,Không quan trọng,['Chỗ để xe'],"{'Latitude': 12.234686, 'Longitude': 103.540512}",Ba Đình,39,1
Hà Nội,32,Nữ,Nhân viên văn phòng,11,1,Không quan trọng,"['Máy lạnh', 'Bếp', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 19.924292, 'Longitude': 104.065632}",Thanh Trì,47,4
Thái Bình,26,Nam,Kỹ sư,6,1,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Bếp']","{'Latitude': 12.170125, 'Longitude': 106.163515}",Thanh Oai,26,1
Lạng Sơn,34,Nữ,Freelancer,10,3,Thích yên tĩnh,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 11.508472, 'Longitude': 104.200963}",Long Biên,26,2
Hưng Yên,31,Nữ,Freelancer,10,4,Nuôi thú cưng,"['An ninh tốt', 'Chỗ để xe']","{'Latitude': 12.135965, 'Longitude': 107.246328}",Hoài Đức,24,2
Hà Nội,26,Nam,Nhân viên văn phòng,14,5,Thích yên tĩnh,"['Bếp', 'Nội thất sẵn', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 16.863237, 'Longitude': 105.46419}",Tây Hồ,21,4
Thái Bình,18,Nam,Sinh viên,1,3,Nuôi thú cưng,['Nhà vệ sinh riêng'],"{'Latitude': 15.192132, 'Longitude': 108.967715}",Sóc Sơn,20,4
Hòa Bình,34,Nữ,Freelancer,11,3,Thích yên tĩnh,['Chỗ để xe'],"{'Latitude': 14.782719, 'Longitude': 105.276916}",Ba Đình,18,4
Lai Châu,32,Nữ,Công nhân,17,4,Không quan trọng,['An ninh tốt'],"{'Latitude': 13.815232, 'Longitude': 108.666204}",Thường Tín,27,2
Lai Châu,31,Nữ,Nhân viên văn phòng,5,4,Không quan trọng,"['An ninh tốt', 'Nhà vệ sinh riêng', 'Bếp']","{'Latitude': 12.929952, 'Longitude': 103.488889}",Chương Mỹ,41,3
Hà Nam,24,Nam,Freelancer,12,4,Nuôi thú cưng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt', 'Bếp']","{'Latitude': 8.819855, 'Longitude': 103.813164}",Thanh Trì,30,4
Cao Bằng,32,Nam,Công nhân,13,5,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 15.456035, 'Longitude': 108.609778}",Sơn Tây,10,3
Thái Nguyên,22,Nữ,Sinh viên,2,2,Thích yên tĩnh,"['Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 22.915255, 'Longitude': 105.722183}",Gia Lâm,18,1
Sơn La,29,Nam,Nhân viên văn phòng,10,1,Không quan trọng,"['Máy lạnh', 'Bếp', 'An ninh tốt', 'Nội thất sẵn']","{'Latitude': 17.657794, 'Longitude': 105.789551}",Thanh Trì,10,3
Bắc Kạn,30,Nữ,Phục vụ,7,1,Nuôi thú cưng,['Chỗ để xe'],"{'Latitude': 21.232191, 'Longitude': 108.265405}",Hoàng Mai,46,3
Hà Nội,20,Nam,Sinh viên,0,1,Thích yên tĩnh,"['Bếp', 'Chỗ để xe']","{'Latitude': 21.034644, 'Longitude': 106.29397}",Phú Xuyên,35,1
Phú Thọ,25,Nữ,Freelancer,10,2,Không quan trọng,"['Bếp', 'An ninh tốt']","{'Latitude': 11.816642, 'Longitude': 102.488456}",Thanh Xuân,26,4
Tuyên Quang,33,Nam,Phục vụ,14,3,Không quan trọng,"['Bếp', 'An ninh tốt', 'Chỗ để xe', 'Nhà vệ sinh riêng']","{'Latitude': 12.65901, 'Longitude': 107.103103}",Thanh Trì,43,2
Lào Cai,21,Nam,Sinh viên,7,2,Thích yên tĩnh,"['Nhà vệ sinh riêng', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 17.524083, 'Longitude': 109.024716}",Phúc Thọ,40,1
Hải Phòng,26,Nam,Công nhân,5,3,Nuôi thú cưng,"['An ninh tốt', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 17.451728, 'Longitude': 102.706024}",Mỹ Đức,22,2
Lào Cai,27,Nữ,Nhân viên văn phòng,14,4,Không quan trọng,"['Chỗ để xe', 'Nội thất sẵn', 'Bếp', 'An ninh tốt']","{'Latitude': 15.702935, 'Longitude': 107.492853}",Thạch Thất,31,3
Bắc Kạn,19,Nữ,Sinh viên,3,5,Thích yên tĩnh,"['Nội thất sẵn', 'Bếp', 'Nhà vệ sinh riêng']","{'Latitude': 8.21604, 'Longitude': 109.312552}",Thường Tín,23,2
Yên Bái,23,Nữ,Phục vụ,19,1,Thích yên tĩnh,"['Nội thất sẵn', 'An ninh tốt', 'Máy lạnh', 'Chỗ để xe']","{'Latitude': 19.026876, 'Longitude': 105.246145}",Hai Bà Trưng,28,2
Sơn La,23,Nữ,Freelancer,11,4,Không quan trọng,['An ninh tốt'],"{'Latitude': 17.10625, 'Longitude': 108.18664}",Đống Đa,27,3
Ninh Bình,18,Nữ,Sinh viên,0,4,Thích yên tĩnh,['Nhà vệ sinh riêng'],"{'Latitude': 21.623059, 'Longitude': 102.609302}",Đan Phượng,10,2
Hải Phòng,28,Nam,Phục vụ,19,5,Nuôi thú cưng,"['Chỗ để xe', 'Máy lạnh']","{'Latitude': 12.135015, 'Longitude': 103.123274}",Thạch Thất,16,3
Hà Nội,29,Nữ,Công nhân,12,4,Thích yên tĩnh,"['Chỗ để xe', 'Máy lạnh', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 17.148015, 'Longitude': 104.659631}",Hoàng Mai,44,2
Vĩnh Phúc,28,Nữ,Nhân viên văn phòng,9,5,Nuôi thú cưng,['Nội thất sẵn'],"{'Latitude': 20.043656, 'Longitude': 104.582734}",Đống Đa,50,3
Thái Bình,26,Nữ,Freelancer,8,5,Nuôi thú cưng,"['Máy lạnh', 'Nội thất sẵn']","{'Latitude': 22.130482, 'Longitude': 105.017743}",Thạch Thất,35,1
Cao Bằng,28,Nữ,Nhân viên văn phòng,13,5,Nuôi thú cưng,"['Chỗ để xe', 'An ninh tốt']","{'Latitude': 21.532823, 'Longitude': 103.766644}",Thanh Trì,18,1
